country,client_type,average_basket,average_price,visit_number,age,gender,hobbies,customer_id
uk,frequent,3.0,11901.0,8.0,64.0,female,,85
uk,occasional,5.0,7250.0,1.0,68.0,female,,86
uk,frequent,6.0,11047.0,8.0,46.0,male,,87
fr,occasional,1.0,2039.0,3.0,54.0,female,,88
fr,vip,3.0,9557.0,25.0,50.0,female,,89
fr,frequent,2.0,6949.0,4.0,57.0,male,,90
fr,occasional,1.0,2324.0,2.0,62.0,female,,91
fr,occasional,1.0,2807.0,2.0,56.0,female,,92
uk,occasional,3.0,8683.0,1.0,50.0,male,,93
uk,occasional,3.0,6481.0,2.0,80.0,male,,94
uk,occasional,4.0,6794.0,1.0,63.0,male,,95
it,occasional,1.0,1700.0,2.0,54.0,female,movies,96
uk,frequent,3.0,10910.0,6.0,64.0,male,,97
fr,occasional,3.0,1546.0,2.0,71.0,male,,98
fr,vip,3.0,11593.0,22.0,64.0,male,,99
uk,occasional,2.0,6838.0,1.0,56.0,male,,100
fr,occasional,1.0,2198.0,1.0,29.0,male,,101
fr,occasional,1.0,2226.0,1.0,59.0,male,,102
uk,occasional,4.0,8556.0,2.0,65.0,female,,103
fr,frequent,2.0,6704.0,17.0,52.0,male,,104
fr,frequent,4.0,6797.0,14.0,50.0,male,,105
fr,occasional,1.0,2102.0,2.0,32.0,female,,106
it,occasional,1.0,1636.0,1.0,61.0,male,,107
fr,occasional,1.0,1268.0,3.0,59.0,male,movies,108
fr,frequent,1.0,5814.0,11.0,48.0,male,,109
fr,occasional,2.0,2008.0,3.0,54.0,male,sport,110
fr,occasional,1.0,2552.0,1.0,53.0,male,movies,111
uk,occasional,3.0,,1.0,58.0,male,,112
fr,occasional,2.0,1403.0,2.0,56.0,male,,113
uk,occasional,5.0,9244.0,3.0,70.0,male,,114
uk,occasional,3.0,5865.0,2.0,61.0,male,,115
fr,vip,3.0,9412.0,21.0,66.0,male,,116
fr,occasional,1.0,2286.0,3.0,52.0,male,,117
uk,occasional,3.0,5018.0,3.0,59.0,male,,118
uk,occasional,2.0,8178.0,1.0,48.0,female,,119
fr,occasional,1.0,2949.0,2.0,72.0,male,,120
uk,vip,8.0,15054.0,9.0,42.0,female,,121
fr,occasional,1.0,1833.0,3.0,56.0,male,,122
it,frequent,2.0,5201.0,4.0,52.0,male,,123
fr,vip,3.0,9709.0,20.0,60.0,male,,124
fr,occasional,2.0,2721.0,2.0,73.0,male,,125
uk,occasional,4.0,6173.0,2.0,61.0,male,reading,126
fr,frequent,1.0,6615.0,6.0,43.0,male,,127
fr,occasional,1.0,817.0,2.0,59.0,male,,128
fr,occasional,1.0,2093.0,2.0,66.0,male,,129
fr,frequent,3.0,5308.0,9.0,58.0,male,,130
fr,occasional,1.0,2138.0,1.0,54.0,male,,131
fr,frequent,1.0,5760.0,8.0,58.0,male,,132
fr,occasional,1.0,2017.0,1.0,62.0,male,,133
uk,occasional,2.0,7206.0,2.0,70.0,female,,134
uk,frequent,7.0,9631.0,8.0,58.0,female,,135
fr,frequent,1.0,3836.0,13.0,77.0,male,sport,136
fr,occasional,1.0,,1.0,53.0,male,,137
fr,occasional,1.0,1481.0,3.0,67.0,male,,138
fr,occasional,1.0,2381.0,3.0,67.0,male,,139
fr,occasional,2.0,,2.0,62.0,male,,140
uk,occasional,5.0,8472.0,2.0,53.0,male,,141
fr,occasional,3.0,2554.0,1.0,60.0,male,,142
uk,vip,3.0,-1.0,6.0,58.0,female,,143
uk,occasional,2.0,5318.0,2.0,63.0,,,144
uk,occasional,3.0,8235.0,3.0,49.0,male,,145
uk,occasional,3.0,8023.0,1.0,56.0,male,,146
fr,occasional,1.0,2086.0,3.0,39.0,male,,147
fr,frequent,2.0,5539.0,7.0,43.0,male,reading,148
fr,occasional,1.0,2330.0,2.0,55.0,male,,149
uk,occasional,3.0,6900.0,1.0,72.0,male,,150
it,occasional,1.0,1350.0,2.0,55.0,male,movies,151
fr,occasional,2.0,2501.0,2.0,45.0,male,,152
uk,occasional,2.0,6855.0,3.0,62.0,male,,153
fr,occasional,1.0,2226.0,3.0,53.0,male,,154
fr,frequent,2.0,5953.0,9.0,54.0,male,,155
fr,frequent,2.0,8163.0,8.0,72.0,male,,156
it,occasional,1.0,1933.0,2.0,77.0,female,,157
fr,occasional,1.0,2385.0,1.0,50.0,male,,158
fr,occasional,2.0,2049.0,2.0,53.0,male,,159
uk,occasional,2.0,7825.0,2.0,50.0,male,,160
fr,frequent,1.0,5922.0,3.0,51.0,male,,161
uk,vip,8.0,,12.0,49.0,male,,162
fr,occasional,2.0,2384.0,2.0,62.0,female,,163
fr,occasional,1.0,492.0,2.0,60.0,male,,164
fr,occasional,1.0,1672.0,1.0,53.0,male,,165
fr,occasional,2.0,2130.0,2.0,47.0,male,,166
fr,occasional,1.0,1103.0,1.0,51.0,male,,167
uk,vip,7.0,19013.0,14.0,45.0,female,,168
uk,occasional,4.0,9665.0,2.0,49.0,male,,169
uk,occasional,3.0,7933.0,2.0,59.0,female,,170
fr,occasional,1.0,2378.0,2.0,64.0,male,,171
it,occasional,1.0,1689.0,2.0,53.0,male,,172
fr,frequent,2.0,6095.0,9.0,31.0,female,,173
fr,occasional,2.0,1400.0,1.0,65.0,female,,174
fr,frequent,1.0,5950.0,8.0,48.0,male,,175
fr,frequent,2.0,6114.0,12.0,38.0,male,,176
uk,occasional,3.0,6521.0,1.0,49.0,male,reading,177
fr,occasional,1.0,1565.0,3.0,63.0,male,,178
fr,occasional,1.0,3168.0,3.0,64.0,male,,179
uk,frequent,8.0,9663.0,11.0,69.0,male,sport,180
uk,occasional,5.0,7661.0,2.0,59.0,male,,181
fr,frequent,3.0,6251.0,6.0,62.0,male,,182
fr,occasional,2.0,2070.0,3.0,57.0,male,,183
fr,occasional,1.0,2784.0,1.0,65.0,female,,184
fr,occasional,2.0,1800.0,2.0,53.0,male,,185
it,occasional,2.0,1626.0,1.0,62.0,female,,186
it,occasional,1.0,1701.0,5.0,55.0,female,,187
fr,frequent,1.0,6006.0,9.0,59.0,male,,188
fr,occasional,2.0,1509.0,2.0,51.0,male,,189
uk,occasional,1.0,11280.0,1.0,50.0,male,,190
fr,occasional,1.0,2420.0,4.0,44.0,male,,191
it,occasional,1.0,1032.0,3.0,60.0,male,,192
uk,occasional,2.0,9953.0,1.0,46.0,female,,193
uk,occasional,5.0,6637.0,2.0,61.0,male,,194
fr,occasional,2.0,,1.0,55.0,male,,195
fr,frequent,2.0,,5.0,44.0,female,,196
uk,occasional,4.0,8166.0,1.0,71.0,male,,197
it,occasional,1.0,1311.0,2.0,67.0,male,,198
it,occasional,2.0,1927.0,1.0,58.0,male,,199
fr,occasional,2.0,2400.0,4.0,66.0,male,,200
fr,occasional,1.0,1649.0,3.0,46.0,female,,201
fr,frequent,1.0,6168.0,7.0,63.0,male,sport,202
fr,frequent,2.0,7647.0,13.0,56.0,male,,203
uk,frequent,5.0,10034.0,12.0,57.0,female,,204
uk,occasional,3.0,5984.0,3.0,47.0,male,,205
uk,frequent,7.0,10746.0,7.0,50.0,male,reading,206
it,occasional,1.0,1349.0,1.0,67.0,male,,207
fr,occasional,1.0,2414.0,2.0,59.0,female,,208
fr,frequent,2.0,6954.0,5.0,62.0,female,,209
fr,occasional,1.0,1397.0,2.0,54.0,male,,210
uk,occasional,4.0,8740.0,3.0,55.0,male,,211
uk,occasional,3.0,6208.0,1.0,53.0,female,,212
uk,occasional,4.0,7308.0,3.0,44.0,female,,213
fr,frequent,4.0,4390.0,5.0,63.0,male,,214
uk,vip,5.0,20266.0,10.0,42.0,male,,215
fr,occasional,2.0,1991.0,1.0,53.0,male,,216
fr,frequent,2.0,6837.0,21.0,60.0,male,,217
fr,occasional,1.0,1737.0,1.0,65.0,female,,218
fr,occasional,1.0,1844.0,1.0,71.0,female,,219
fr,occasional,1.0,3165.0,1.0,62.0,male,,220
uk,vip,7.0,21022.0,8.0,49.0,male,,221
fr,occasional,2.0,,2.0,65.0,female,,222
fr,vip,1.0,9891.0,22.0,60.0,female,reading,223
uk,vip,5.0,22454.0,12.0,69.0,female,,224
fr,occasional,1.0,774.0,2.0,50.0,male,sport,225
uk,occasional,4.0,6580.0,2.0,57.0,male,,226
it,occasional,2.0,1706.0,3.0,54.0,female,,227
uk,frequent,1.0,10883.0,6.0,52.0,male,,228
uk,occasional,4.0,7591.0,3.0,47.0,male,,229
uk,occasional,4.0,6357.0,2.0,65.0,male,,230
uk,occasional,1.0,8182.0,3.0,61.0,male,,231
fr,occasional,1.0,2907.0,2.0,77.0,female,,232
uk,occasional,6.0,4879.0,3.0,42.0,female,,233
it,occasional,1.0,1595.0,1.0,50.0,male,,234
uk,occasional,3.0,5549.0,1.0,51.0,male,,235
fr,occasional,1.0,2195.0,2.0,80.0,female,,236
it,occasional,2.0,2067.0,3.0,55.0,male,,237
fr,occasional,2.0,1917.0,1.0,54.0,male,sport,238
fr,occasional,1.0,990.0,2.0,47.0,male,,239
fr,vip,2.0,10021.0,10.0,63.0,male,,240
fr,occasional,1.0,3013.0,2.0,51.0,female,,241
fr,occasional,1.0,-1.0,2.0,56.0,male,,242
fr,occasional,3.0,1971.0,2.0,74.0,male,,243
uk,occasional,3.0,7895.0,3.0,50.0,female,,244
fr,occasional,1.0,1746.0,3.0,48.0,male,,245
fr,occasional,2.0,2094.0,1.0,52.0,female,,246
it,occasional,2.0,1927.0,1.0,60.0,male,,247
uk,vip,2.0,17688.0,10.0,50.0,female,,248
it,occasional,1.0,1594.0,2.0,55.0,female,,249
uk,frequent,7.0,11323.0,7.0,43.0,female,,250
fr,occasional,1.0,2558.0,3.0,41.0,male,,251
it,occasional,1.0,1842.0,2.0,,male,,252
fr,occasional,1.0,791.0,1.0,41.0,male,,253
uk,vip,4.0,21550.0,12.0,58.0,male,,254
fr,frequent,3.0,4813.0,21.0,42.0,male,movies,255
it,occasional,1.0,1531.0,2.0,45.0,female,,256
fr,frequent,1.0,6009.0,15.0,44.0,male,,257
it,occasional,1.0,1698.0,2.0,48.0,male,,258
it,vip,2.0,4645.0,5.0,46.0,female,,259
fr,frequent,2.0,6811.0,11.0,63.0,female,,260
uk,frequent,7.0,8127.0,10.0,55.0,male,,261
fr,occasional,2.0,2670.0,2.0,77.0,female,,262
fr,frequent,3.0,5340.0,12.0,43.0,male,,263
fr,occasional,2.0,1698.0,1.0,61.0,male,,264
fr,frequent,4.0,6465.0,15.0,45.0,female,,265
uk,occasional,4.0,8480.0,1.0,41.0,male,,266
fr,vip,2.0,12102.0,12.0,56.0,female,,267
uk,frequent,8.0,10018.0,10.0,54.0,male,,268
fr,occasional,1.0,2881.0,2.0,44.0,male,,269
fr,occasional,1.0,2101.0,1.0,57.0,female,,270
uk,occasional,2.0,8653.0,1.0,41.0,male,,271
uk,occasional,2.0,6399.0,1.0,43.0,male,reading,272
fr,occasional,1.0,2647.0,2.0,73.0,female,,273
fr,occasional,1.0,2248.0,1.0,53.0,male,,274
uk,occasional,4.0,5157.0,1.0,51.0,male,,275
uk,occasional,4.0,7719.0,1.0,54.0,female,,276
fr,frequent,1.0,6256.0,20.0,53.0,female,movies,277
fr,occasional,1.0,2037.0,2.0,50.0,male,,278
uk,vip,2.0,18296.0,14.0,67.0,male,,279
fr,occasional,2.0,2891.0,2.0,53.0,male,sport,280
it,occasional,1.0,1549.0,2.0,50.0,male,,281
uk,occasional,4.0,9047.0,2.0,56.0,male,,282
fr,occasional,1.0,1907.0,2.0,,male,,283
it,occasional,1.0,1937.0,1.0,57.0,male,,284
fr,vip,3.0,11059.0,30.0,63.0,male,,285
uk,occasional,1.0,4982.0,1.0,54.0,male,,286
fr,occasional,1.0,783.0,3.0,64.0,female,,287
uk,occasional,2.0,,2.0,54.0,female,,288
fr,occasional,2.0,1441.0,1.0,60.0,male,,289
uk,frequent,5.0,8936.0,9.0,57.0,female,,290
uk,occasional,4.0,7399.0,2.0,,male,,291
fr,frequent,1.0,5296.0,11.0,82.0,male,,292
fr,occasional,2.0,881.0,2.0,58.0,male,,293
fr,frequent,2.0,6687.0,13.0,66.0,male,,294
fr,frequent,3.0,7196.0,9.0,51.0,female,,295
fr,occasional,1.0,1438.0,3.0,58.0,female,,296
uk,frequent,11.0,9936.0,7.0,46.0,male,,297
fr,occasional,1.0,1423.0,2.0,61.0,male,,298
it,occasional,1.0,1425.0,3.0,41.0,male,,299
fr,frequent,3.0,4536.0,2.0,35.0,male,,300
fr,occasional,2.0,2590.0,1.0,50.0,male,,301
fr,frequent,3.0,7985.0,8.0,54.0,female,,302
uk,frequent,6.0,,3.0,47.0,male,,303
fr,occasional,1.0,,4.0,63.0,male,,304
uk,occasional,4.0,3879.0,2.0,70.0,male,,305
fr,occasional,1.0,1846.0,3.0,47.0,female,,306
fr,occasional,1.0,1338.0,2.0,63.0,male,,307
fr,occasional,1.0,2250.0,2.0,73.0,female,,308
fr,occasional,2.0,2300.0,3.0,,male,,309
it,occasional,1.0,1454.0,2.0,77.0,male,,310
uk,frequent,8.0,11769.0,7.0,45.0,female,,311
uk,occasional,4.0,7129.0,1.0,48.0,male,,312
fr,occasional,1.0,3440.0,3.0,46.0,male,,313
fr,occasional,1.0,3022.0,3.0,60.0,female,,314
uk,occasional,3.0,4519.0,2.0,,male,,315
fr,occasional,2.0,,1.0,49.0,,,316
uk,occasional,2.0,5466.0,1.0,62.0,female,,317
fr,occasional,2.0,1781.0,4.0,66.0,female,,318
fr,occasional,1.0,2203.0,3.0,50.0,female,,319
it,occasional,1.0,-1.0,1.0,64.0,male,,320
fr,occasional,1.0,2051.0,3.0,78.0,male,reading,321
uk,occasional,3.0,7101.0,2.0,49.0,male,,322
uk,occasional,4.0,6853.0,1.0,48.0,male,movies,323
uk,occasional,3.0,7151.0,2.0,55.0,male,,324
uk,frequent,5.0,10377.0,9.0,75.0,male,,325
it,occasional,1.0,,1.0,59.0,male,,326
uk,occasional,2.0,6428.0,1.0,36.0,female,,327
fr,frequent,1.0,5559.0,2.0,47.0,male,,328
uk,occasional,3.0,-1.0,5.0,43.0,male,,329
it,vip,1.0,10380.0,4.0,52.0,male,,330
uk,frequent,10.0,9224.0,13.0,48.0,female,,331
fr,occasional,2.0,1430.0,2.0,55.0,female,,332
fr,occasional,1.0,2672.0,2.0,57.0,female,,333
fr,frequent,3.0,6954.0,18.0,69.0,male,,334
uk,vip,1.0,,8.0,59.0,male,,335
it,occasional,1.0,1526.0,3.0,74.0,female,,336
fr,occasional,1.0,1879.0,2.0,60.0,male,,337
fr,frequent,2.0,6535.0,1.0,49.0,male,,338
it,vip,2.0,5649.0,7.0,67.0,,,339
uk,occasional,3.0,7834.0,2.0,53.0,male,,340
fr,occasional,2.0,1807.0,2.0,69.0,female,,341
fr,frequent,2.0,5911.0,8.0,46.0,male,,342
fr,occasional,1.0,2614.0,1.0,40.0,male,,343
uk,vip,7.0,19525.0,14.0,58.0,male,,344
uk,occasional,4.0,7007.0,1.0,62.0,male,,345
fr,occasional,1.0,1871.0,1.0,61.0,male,,346
it,occasional,1.0,1607.0,3.0,69.0,female,movies,347
fr,occasional,1.0,1254.0,3.0,42.0,female,,348
uk,occasional,3.0,3931.0,2.0,28.0,male,,349
uk,frequent,11.0,10928.0,12.0,66.0,male,,350
fr,occasional,1.0,2292.0,2.0,69.0,male,,351
uk,occasional,3.0,9011.0,1.0,45.0,female,,352
fr,occasional,1.0,2519.0,3.0,65.0,male,,353
fr,frequent,4.0,6501.0,6.0,41.0,female,,354
fr,occasional,2.0,1555.0,2.0,51.0,male,movies,355
fr,occasional,2.0,2093.0,1.0,53.0,male,,356
fr,occasional,2.0,730.0,2.0,67.0,male,,357
uk,occasional,1.0,5796.0,1.0,65.0,male,,358
fr,occasional,1.0,2060.0,2.0,41.0,male,,359
fr,occasional,1.0,1537.0,2.0,44.0,male,,360
it,occasional,1.0,1699.0,5.0,64.0,male,,361
fr,occasional,1.0,1212.0,3.0,61.0,male,,362
fr,occasional,1.0,2646.0,2.0,54.0,male,,363
uk,frequent,6.0,9647.0,2.0,59.0,male,,364
uk,frequent,6.0,11220.0,14.0,70.0,female,,365
fr,occasional,1.0,1709.0,1.0,68.0,male,,366
uk,occasional,1.0,6226.0,1.0,51.0,male,,367
fr,occasional,2.0,1917.0,1.0,48.0,male,,368
fr,occasional,2.0,,3.0,59.0,female,theaters,369
fr,occasional,1.0,1613.0,3.0,68.0,female,,370
fr,occasional,1.0,2490.0,2.0,70.0,male,,371
fr,occasional,1.0,1553.0,2.0,68.0,female,,372
uk,occasional,3.0,10720.0,3.0,51.0,male,,373
fr,occasional,1.0,2567.0,1.0,51.0,female,,374
fr,frequent,2.0,5902.0,10.0,37.0,male,,375
fr,occasional,1.0,2681.0,2.0,54.0,female,,376
it,vip,1.0,3925.0,4.0,55.0,male,,377
fr,occasional,1.0,,4.0,67.0,male,,378
it,occasional,3.0,1638.0,1.0,65.0,male,sport,379
fr,occasional,1.0,2051.0,1.0,52.0,male,,380
fr,frequent,3.0,5749.0,9.0,62.0,female,,381
fr,occasional,1.0,1249.0,1.0,38.0,male,,382
fr,occasional,1.0,2100.0,2.0,72.0,male,,383
fr,occasional,1.0,2739.0,3.0,64.0,male,,384
uk,occasional,2.0,8306.0,4.0,65.0,male,,385
fr,frequent,1.0,6440.0,9.0,54.0,male,,386
uk,occasional,3.0,5782.0,3.0,58.0,male,,387
fr,occasional,1.0,2440.0,2.0,56.0,female,,388
fr,occasional,1.0,1739.0,1.0,58.0,female,,389
fr,occasional,1.0,1444.0,2.0,51.0,male,,390
uk,frequent,6.0,,10.0,64.0,male,,391
uk,occasional,3.0,7598.0,2.0,54.0,male,sport,392
fr,occasional,1.0,2865.0,2.0,43.0,female,,393
uk,vip,5.0,-1.0,9.0,51.0,female,,394
it,occasional,2.0,1697.0,3.0,51.0,male,,395
fr,occasional,1.0,2009.0,1.0,68.0,male,,396
fr,frequent,2.0,7154.0,4.0,72.0,male,,397
fr,occasional,1.0,1880.0,1.0,66.0,female,,398
fr,frequent,2.0,5929.0,20.0,62.0,female,,399
fr,occasional,1.0,1550.0,2.0,58.0,male,,400
fr,frequent,2.0,,1.0,38.0,male,,401
fr,occasional,1.0,-1.0,3.0,68.0,female,,402
uk,frequent,4.0,9876.0,8.0,46.0,male,theaters,403
fr,occasional,1.0,1884.0,4.0,41.0,female,reading,404
uk,frequent,6.0,,8.0,66.0,male,,405
uk,occasional,3.0,5196.0,3.0,42.0,female,,406
fr,occasional,1.0,,3.0,59.0,male,,407
fr,occasional,1.0,2289.0,2.0,47.0,male,,408
fr,occasional,1.0,1617.0,2.0,49.0,female,,409
fr,occasional,1.0,1439.0,2.0,69.0,female,,410
fr,occasional,1.0,1445.0,1.0,50.0,male,,411
fr,frequent,2.0,6374.0,3.0,56.0,male,,412
uk,vip,3.0,14802.0,15.0,57.0,male,,413
fr,frequent,2.0,7159.0,7.0,67.0,male,,414
fr,occasional,1.0,2207.0,2.0,45.0,male,,415
fr,occasional,1.0,1993.0,4.0,50.0,male,,416
fr,frequent,3.0,6427.0,11.0,66.0,female,,417
fr,frequent,3.0,5414.0,5.0,48.0,male,,418
fr,occasional,3.0,2012.0,3.0,60.0,female,,419
fr,occasional,1.0,918.0,1.0,51.0,male,,420
uk,occasional,3.0,5047.0,4.0,56.0,male,,421
uk,frequent,7.0,11916.0,12.0,36.0,male,,422
fr,frequent,1.0,6540.0,20.0,47.0,male,,423
fr,frequent,2.0,6944.0,4.0,62.0,male,sport,424
fr,occasional,1.0,1392.0,2.0,63.0,male,,425
fr,occasional,1.0,2323.0,1.0,47.0,male,sport,426
fr,occasional,1.0,,1.0,48.0,male,,427
fr,occasional,1.0,2158.0,2.0,71.0,male,,428
uk,occasional,4.0,5535.0,4.0,60.0,female,,429
fr,frequent,4.0,6641.0,11.0,65.0,female,,430
fr,occasional,1.0,2095.0,1.0,52.0,male,,431
fr,vip,5.0,11173.0,23.0,50.0,male,sport,432
fr,occasional,1.0,2521.0,3.0,48.0,female,,433
fr,occasional,1.0,1531.0,3.0,62.0,male,,434
it,occasional,2.0,1574.0,2.0,50.0,male,,435
fr,occasional,3.0,,1.0,61.0,male,,436
fr,frequent,3.0,8336.0,5.0,77.0,female,movies,437
it,occasional,2.0,1205.0,5.0,80.0,male,,438
uk,frequent,6.0,9939.0,13.0,62.0,male,,439
uk,vip,7.0,20969.0,9.0,50.0,male,,440
fr,frequent,2.0,4562.0,6.0,48.0,male,,441
uk,frequent,10.0,9848.0,10.0,57.0,male,,442
fr,frequent,1.0,4436.0,7.0,41.0,male,,443
fr,occasional,2.0,,2.0,47.0,male,,444
fr,occasional,2.0,1918.0,1.0,66.0,male,,445
fr,occasional,1.0,1809.0,2.0,48.0,male,,446
fr,frequent,3.0,6627.0,12.0,71.0,female,,447
fr,frequent,1.0,6545.0,11.0,65.0,male,,448
fr,occasional,2.0,2803.0,3.0,55.0,male,movies,449
fr,frequent,4.0,7004.0,13.0,65.0,male,sport,450
fr,frequent,3.0,5072.0,20.0,47.0,male,,451
fr,frequent,2.0,4799.0,8.0,43.0,male,theaters,452
fr,frequent,1.0,6106.0,1.0,58.0,male,,453
fr,frequent,2.0,6211.0,8.0,66.0,male,,454
uk,occasional,3.0,6965.0,2.0,54.0,female,,455
it,occasional,1.0,1356.0,2.0,55.0,female,,456
fr,frequent,3.0,3580.0,3.0,77.0,male,,457
fr,frequent,1.0,6028.0,6.0,63.0,male,,458
fr,occasional,2.0,2805.0,3.0,62.0,,,459
fr,occasional,1.0,1932.0,2.0,50.0,female,,460
fr,vip,4.0,11876.0,25.0,60.0,female,,461
uk,occasional,3.0,7971.0,2.0,37.0,male,,462
uk,occasional,3.0,6520.0,3.0,47.0,male,,463
uk,occasional,3.0,10325.0,2.0,42.0,male,movies,464
fr,frequent,2.0,6372.0,10.0,66.0,female,,465
uk,occasional,2.0,7186.0,1.0,51.0,male,,466
fr,occasional,1.0,2015.0,2.0,29.0,male,,467
fr,occasional,2.0,2032.0,1.0,56.0,male,,468
fr,frequent,2.0,,5.0,64.0,male,reading,469
uk,occasional,2.0,6674.0,3.0,52.0,male,,470
uk,occasional,1.0,8238.0,2.0,65.0,male,,471
fr,occasional,1.0,2220.0,1.0,63.0,male,,472
uk,frequent,7.0,12377.0,13.0,59.0,male,,473
uk,occasional,4.0,7928.0,2.0,57.0,male,,474
fr,frequent,1.0,6435.0,2.0,67.0,male,,475
uk,occasional,3.0,,3.0,50.0,female,,476
fr,occasional,1.0,1851.0,2.0,57.0,male,reading,477
uk,frequent,6.0,8705.0,8.0,38.0,female,,478
fr,frequent,2.0,4815.0,9.0,76.0,male,,479
fr,occasional,1.0,2660.0,2.0,59.0,male,,480
fr,frequent,2.0,5713.0,17.0,56.0,male,,481
uk,frequent,6.0,9977.0,9.0,41.0,,,482
fr,occasional,1.0,2217.0,2.0,39.0,male,,483
uk,frequent,5.0,9245.0,11.0,41.0,male,,484
